"id","year","month","day","quality_grade","species_guess","scientific_name","common_name","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","NAMELSAD","STUSPS","STATE_NAME","LSAD","ALAND","AWATER"
189413,"2009","07","17","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","025","00277277","0500000US06025","06025","Imperial","Imperial County","CA","California","06",10814595263,790216760
214644,"2013","03","10","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
214886,"2013","03","10","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","087","00277308","0500000US06087","06087","Santa Cruz","Santa Cruz County","CA","California","06",1152818088,419720203
216287,"2013","03","14","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
240865,"2007","08","21","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
242482,"2013","04","21","research","American bullfrog","Lithobates catesbeianus","American Bullfrog","06","013","01675903","0500000US06013","06013","Contra Costa","Contra Costa County","CA","California","06",1856752855,225364427
247605,"2013","04","28","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","113","00277321","0500000US06113","06113","Yolo","Yolo County","CA","California","06",2623627933,22888380
261449,"2010","05","08","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","103","01692767","0500000US06103","06103","Tehama","Tehama County","CA","California","06",7638229338,33767224
262886,"2013","05","11","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
279765,"2013","05","18","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","045","00277287","0500000US06045","06045","Mendocino","Mendocino County","CA","California","06",9082586851,961786019
281028,"2013","05","28","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
285671,"2013","06","01","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","007","01675842","0500000US06007","06007","Butte","Butte County","CA","California","06",4238488704,105260548
290437,"2013","06","02","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
295153,"2013","06","10","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
308643,"2013","06","22","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
311281,"2013","06","24","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","061","00277295","0500000US06061","06061","Placer","Placer County","CA","California","06",3644336873,246435971
318783,"2013","06","08","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
321058,"2013","07","04","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","041","00277285","0500000US06041","06041","Marin","Marin County","CA","California","06",1347890152,797077336
321184,"2013","07","04","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","041","00277285","0500000US06041","06041","Marin","Marin County","CA","California","06",1347890152,797077336
322495,"2013","07","06","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
327241,"2004","04","13","research","American Bullfrog (Lithobates catesbeianus)","Lithobates catesbeianus","American Bullfrog","06","081","00277305","0500000US06081","06081","San Mateo","San Mateo County","CA","California","06",1161882953,757162988
334162,"2013","07","15","research","Lithobates catesbeianus","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
336260,"2010","07","05","research","Lithobates catesbeianus","Lithobates catesbeianus","American Bullfrog","06","081","00277305","0500000US06081","06081","San Mateo","San Mateo County","CA","California","06",1161882953,757162988
336359,"2012","09","29","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","071","00277300","0500000US06071","06071","San Bernardino","San Bernardino County","CA","California","06",51976311092,96418406
340424,"2013","07","21","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
342081,"2012","05","15","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
347488,"2013","07","26","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
348781,"2006","10","08","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","113","00277321","0500000US06113","06113","Yolo","Yolo County","CA","California","06",2623627933,22888380
363661,"2013","08","11","research","American Bullfrog (Lithobates catesbeianus)","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
374148,"2013","08","11","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
380600,"2013","08","27","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","087","00277308","0500000US06087","06087","Santa Cruz","Santa Cruz County","CA","California","06",1152818088,419720203
384099,"2013","08","31","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
384409,"2013","08","31","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","081","00277305","0500000US06081","06081","San Mateo","San Mateo County","CA","California","06",1161882953,757162988
386070,"2013","09","01","research","American Bullfrog (Lithobates catesbeianus)","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
393380,"2013","09","09","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","087","00277308","0500000US06087","06087","Santa Cruz","Santa Cruz County","CA","California","06",1152818088,419720203
412710,"2013","09","28","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
413698,"2009","05","02","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
435598,"2013","10","20","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","045","00277287","0500000US06045","06045","Mendocino","Mendocino County","CA","California","06",9082586851,961786019
443333,"2008","09","06","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
443334,"2008","09","06","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
443335,"2008","09","06","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
443336,"2008","09","06","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
443337,"2008","09","06","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
443338,"2008","09","06","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
443339,"2008","09","06","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
511641,"2010","07","31","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","045","00277287","0500000US06045","06045","Mendocino","Mendocino County","CA","California","06",9082586851,961786019
515644,"2014","01","29","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
533091,"2014","02","14","research","Rana catesbeiana","Lithobates catesbeianus","American Bullfrog","06","013","01675903","0500000US06013","06013","Contra Costa","Contra Costa County","CA","California","06",1856752855,225364427
549139,"2014","03","02","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
555268,"2014","03","05","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
566683,"2014","03","08","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
582336,"2014","03","24","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
590954,"2014","03","26","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
613103,"2014","04","07","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
613104,"2014","04","07","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
613827,"2014","04","07","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
614051,"2014","04","07","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
614543,"2014","04","07","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
630838,"2014","04","18","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
634786,"2014","04","19","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","025","00277277","0500000US06025","06025","Imperial","Imperial County","CA","California","06",10814595263,790216760
638082,"2014","04","21","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","059","00277294","0500000US06059","06059","Orange","Orange County","CA","California","06",2053491982,406263283
638339,"2014","04","19","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","025","00277277","0500000US06025","06025","Imperial","Imperial County","CA","California","06",10814595263,790216760
638340,"2014","04","19","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","025","00277277","0500000US06025","06025","Imperial","Imperial County","CA","California","06",10814595263,790216760
647911,"2014","04","25","research","Lithobates catesbeianus","Lithobates catesbeianus","American Bullfrog","06","059","00277294","0500000US06059","06059","Orange","Orange County","CA","California","06",2053491982,406263283
657046,"2014","05","03","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
657050,"2014","05","03","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
657051,"2014","05","03","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
661278,"2014","05","03","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
665736,"2014","05","07","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","079","00277304","0500000US06079","06079","San Luis Obispo","San Luis Obispo County","CA","California","06",8549160509,815630594
670267,"2014","05","09","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","087","00277308","0500000US06087","06087","Santa Cruz","Santa Cruz County","CA","California","06",1152818088,419720203
673634,"2014","04","09","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","059","00277294","0500000US06059","06059","Orange","Orange County","CA","California","06",2053491982,406263283
674683,"2014","03","19","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","099","00277314","0500000US06099","06099","Stanislaus","Stanislaus County","CA","California","06",3875010966,46378767
675511,"2014","05","12","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
678018,"2014","05","14","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","079","00277304","0500000US06079","06079","San Luis Obispo","San Luis Obispo County","CA","California","06",8549160509,815630594
678454,"2014","05","14","research","Lithobates catesbeianus","Lithobates catesbeianus","American Bullfrog","06","079","00277304","0500000US06079","06079","San Luis Obispo","San Luis Obispo County","CA","California","06",8549160509,815630594
678759,"2014","05","14","research","Lithobates catesbeianus","Lithobates catesbeianus","American Bullfrog","06","079","00277304","0500000US06079","06079","San Luis Obispo","San Luis Obispo County","CA","California","06",8549160509,815630594
681995,"2014","05","17","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","009","01675885","0500000US06009","06009","Calaveras","Calaveras County","CA","California","06",2641837360,43789489
691496,"2014","05","21","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
698351,"2014","05","25","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","017","00277273","0500000US06017","06017","El Dorado","El Dorado County","CA","California","06",4423288012,203364019
709451,"2014","05","31","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","077","00277303","0500000US06077","06077","San Joaquin","San Joaquin County","CA","California","06",3605878834,89000661
721510,"2014","05","30","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","017","00277273","0500000US06017","06017","El Dorado","El Dorado County","CA","California","06",4423288012,203364019
724152,"2014","05","03","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
725253,"2014","06","08","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
726370,"2014","06","07","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","059","00277294","0500000US06059","06059","Orange","Orange County","CA","California","06",2053491982,406263283
726706,"2014","06","08","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
727576,"2014","06","08","research","Rana catesbeiana","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
730928,"2014","04","05","research","Lithobates catesbeianus","Lithobates catesbeianus","American Bullfrog","06","029","02054176","0500000US06029","06029","Kern","Kern County","CA","California","06",21068705437,78332288
732532,"2013","05","18","research","Lithobates catesbeianus","Lithobates catesbeianus","American Bullfrog","06","029","02054176","0500000US06029","06029","Kern","Kern County","CA","California","06",21068705437,78332288
734537,"2014","06","04","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","101","00277315","0500000US06101","06101","Sutter","Sutter County","CA","California","06",1560975504,14811541
736654,"2014","06","12","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","089","01682610","0500000US06089","06089","Shasta","Shasta County","CA","California","06",9778892920,185816636
765071,"2014","06","22","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","091","00277310","0500000US06091","06091","Sierra","Sierra County","CA","California","06",2468694582,23299110
770695,"2014","07","02","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","023","01681908","0500000US06023","06023","Humboldt","Humboldt County","CA","California","06",9241141220,1254150035
773617,"2014","07","05","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","045","00277287","0500000US06045","06045","Mendocino","Mendocino County","CA","California","06",9082586851,961786019
774195,"2014","07","05","research","Lithobates catesbeianus","Lithobates catesbeianus","American Bullfrog","06","013","01675903","0500000US06013","06013","Contra Costa","Contra Costa County","CA","California","06",1856752855,225364427
776931,"2014","07","05","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","045","00277287","0500000US06045","06045","Mendocino","Mendocino County","CA","California","06",9082586851,961786019
786010,"2008","04","15","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
788031,"2014","07","15","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","013","01675903","0500000US06013","06013","Contra Costa","Contra Costa County","CA","California","06",1856752855,225364427
800492,"2014","07","24","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","077","00277303","0500000US06077","06077","San Joaquin","San Joaquin County","CA","California","06",3605878834,89000661
804598,"2014","07","27","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","077","00277303","0500000US06077","06077","San Joaquin","San Joaquin County","CA","California","06",3605878834,89000661
817045,"2014","08","04","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
835749,"2014","08","17","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","041","00277285","0500000US06041","06041","Marin","Marin County","CA","California","06",1347890152,797077336
840813,"2014","08","17","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","007","01675842","0500000US06007","06007","Butte","Butte County","CA","California","06",4238488704,105260548
844848,"2014","08","23","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
846983,"2014","08","24","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
847696,"2014","08","24","research","Common Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
848471,"2014","08","24","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
850100,"2014","08","26","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
853979,"2014","08","29","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
854721,"2014","08","30","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","077","00277303","0500000US06077","06077","San Joaquin","San Joaquin County","CA","California","06",3605878834,89000661
857384,"2014","08","31","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
860361,"2014","09","03","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
860692,"2014","08","30","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","041","00277285","0500000US06041","06041","Marin","Marin County","CA","California","06",1347890152,797077336
862139,"2014","09","03","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","077","00277303","0500000US06077","06077","San Joaquin","San Joaquin County","CA","California","06",3605878834,89000661
870578,"2014","09","10","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
884692,"2014","09","18","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
887622,"2014","08","10","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","011","01675902","0500000US06011","06011","Colusa","Colusa County","CA","California","06",2980245446,14696164
889644,"2014","09","20","research","American Bullfrog (Lithobates catesbeianus)","Lithobates catesbeianus","American Bullfrog","06","113","00277321","0500000US06113","06113","Yolo","Yolo County","CA","California","06",2623627933,22888380
900454,"2014","09","28","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","077","00277303","0500000US06077","06077","San Joaquin","San Joaquin County","CA","California","06",3605878834,89000661
900732,"2014","09","28","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","017","00277273","0500000US06017","06017","El Dorado","El Dorado County","CA","California","06",4423288012,203364019
907411,"2014","09","05","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
907412,"2014","09","05","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","073","00277301","0500000US06073","06073","San Diego","San Diego County","CA","California","06",10904539456,817287145
912941,"2014","10","07","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
917147,"2014","10","09","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
1024388,"2014","09","03","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","059","00277294","0500000US06059","06059","Orange","Orange County","CA","California","06",2053491982,406263283
